C0000727	Acute abdomen
C0152128	Drug withdrawal syndrome
C0152149	Ovulation pain
C0152154	Prolonged labour
C0152159	Uterine hypotonus
C0152165	Persistent vomiting
C0152168	Spasm of sphincter of Oddi
C0152169	Renal colic
C0152171	Primary pulmonary hypertension
C0152173	Ventricular flutter
C0152183	Explosive personality disorder
C0152191	Central scotoma
C0152192	Scotoma of blind spot area
C0152196	Spasm of accommodation
C0152198	Accommodation disorder
C0152202	Acquired night blindness
C0152219	Cyclophoria
C0152227	Lacrimation increased
C0152253	Posterior synechiae of iris
C0152267	Hodgkin's disease lymphocyte depletion type stage unspecified
C0152427	Polydactyly
C0152436	Imperforate hymen
C0152447	Urethral discharge
C0152459	Skin striae
C0152486	Salmonella sepsis
C0152517	Viral diarrhoea
C0152964	Streptococcal sepsis
C0152965	Staphylococcal bacteraemia
C0152972	Pseudomonal sepsis
C0153251	Respiratory moniliasis
C0153252	Systemic candida
C0153349	Tongue neoplasm malignant stage unspecified
C0153392	Nasopharyngeal cancer
C0153452	Gallbladder cancer
C0153567	Uterine cancer
C0153594	Testis cancer
C0153618	Malignant neoplasm of renal pelvis
C0153619	Ureteric cancer
C0153676	Lung cancer metastatic
C0153690	Bone cancer metastatic
C0154002	Benign vaginal neoplasm
C0154251	Lipid metabolism disorder
C0154769	Myopathy toxic
C0154822	Serous retinal detachment
C0154833	Retinal vascular disorder
C0154841	Central retinal vein occlusion
C0154933	Iris adhesions
C0154946	Acute angle-closure glaucoma
C0155002	Sudden visual loss
C0155003	Blindness transient
C0155018	Colour blindness acquired
C0155111	Bullous keratopathy
C0155118	Corneal degeneration
C0155145	Chronic conjunctivitis
C0155169	Ocular hyperaemia
C0155170	Conjunctival cyst
C0155177	Eczema eyelids
C0155216	Eyelid bleeding
C0155305	Optic ischaemic neuropathy
C0155320	Blindness cortical
C0155365	Vitreous disorder
C0155428	Otosalpingitis
C0155503	Vertigo CNS origin
C0155540	Otorrhoea
C0155550	Neural hearing loss
C0155616	Secondary hypertension
C0155626	Acute myocardial infarction
C0155709	Atrial fibrillation and flutter
C0155713	Papillary muscle rupture
C0155773	Portal vein thrombosis
C0155789	Oesophageal varices haemorrhage
C0155862	Pneumonia streptococcal
C0155866	Pneumonia anthrax
C0155919	Acute pulmonary oedema
C0155943	Arthralgia of temporomandibular joint
C0155947	Dentofacial anomaly
C0155964	Atrophic glossitis
C0156181	Peritoneal adhesions
C0156279	Urethral syndrome
C0156308	Penile oedema
C0156312	Testicular atrophy
C0156339	Vulval ulceration
C0156353	Uterovaginal prolapse
C0156369	Uterine polyp
C0156394	Enlarged clitoris
C0156404	Menstruation irregular
C0156543	Abortion
C0157733	Abnormalities of the hair
C0158026	Monarthritis
C0158252	Intervertebral disc disorder
C0158266	Intervertebral disc degeneration
C0158281	Cervicobrachial syndrome
C0158322	Calcaneal spur
C0158328	Trigger finger
C0158350	Tendinous contracture
C0158353	Infective myositis
C0158369	Swelling of limb
C0158570	Vascular anomaly
C0158687	Congenital genital malformation
C0158775	Spine malformation
C0158986	Hypoglycaemia neonatal
C0159028	General symptom
C0159039	Spontaneous bruising
C0159056	Abnormal chest sounds NOS
C0159060	Abnormal bowel sounds
C0159066	Abdominal rigidity
C0159076	Choluria
C0159321	Facial bones fracture
C0159658	Clavicle fracture
C0159877	Ankle fracture
C0160087	Ankle sprain
C0160390	Liver injury
C0161479	Nerve injury
C0162119	Haemoglobin decreased
C0162275	Ketonuria
C0162279	Choroidal detachment
C0162281	Corneal deposits
C0162283	Nephrogenic diabetes insipidus
C0162285	Eyelid oedema
C0162287	Abnormal faeces
C0162291	Retinal ischaemia
C0162292	External ophthalmoplegia
C0162296	Polyarthralgia
C0162297	Respiratory arrest
C0162298	Joint stiffness
C0162311	Androgenetic alopecia
C0162316	Iron deficiency anaemia
C0162323	Polyarthritis
C0162386	Femur fracture subtrochanteric
C0162423	Miliaria rubra
C0162429	Malnutrition
C0162529	Colitis ischaemic
C0162532	Variegate porphyria
C0162533	Porphyria hepatic
C0162557	Acute hepatic failure
C0162565	Porphyria acute
C0162566	Porphyria cutanea tarda
C0162627	Skin bacterial infection
C0162628	Viral skin infection
C0162638	Apoptosis
C0162678	Neurofibromatosis
C0162810	Hypertrophic scar
C0162820	Allergic contact dermatitis
C0162823	Dermatitis irritant contact
C0162824	Photocontact dermatitis
C0162830	Photosensitivity reaction
C0162834	Skin hyperpigmentation
C0162835	Leukoderma
C0162848	Eruption lichenoid
C0162871	Abdominal aortic aneurysm
C0175167	Acneiform eruption
C0175683	Argininosuccinate synthetase deficiency
C0175754	Corpus callosum agenesis
C0178282	Abdominal hernia
C0178298	Unspecified disorder of skin and subcutaneous tissue
C0178415	Prostatic specific antigen increased
C0178416	Hypoplastic anaemia
C0178421	Fibroadenoma of breast
C0178703	Hypertrophic osteoarthropathy
C0178829	Reproductive tract disorder
C0178879	Urinary tract obstruction
C0184567	Acute pain
C0205204	Scab
C0205707	Sprue
C0205875	Papillomatosis
C0205929	Anal fistula
C0205990	Vaginal prolapse
C0206061	Interstitial pneumonia
C0206062	Interstitial lung disease
C0206063	Radiation pneumonitis
C0206093	Neuroectodermal neoplasm
C0206160	Reticulocytosis
C0206171	Community acquired infection
C0206178	Cytomegalovirus retinitis
C0206180	Anaplastic large-cell lymphoma
C0206504	Tympanic membrane perforation
C0206624	Hepatoblastoma
C0206633	Angiomyolipoma
C0206669	Hepatocellular adenoma
C0206698	Cholangiocarcinoma
C0206762	Limb malformation
C0220650	Brain cancer metastatic
C0220854	Hyperpnea
C0220870	Lightheadedness
C0220981	Metabolic acidosis
C0220982	Ketoacidosis
C0220983	Metabolic alkalosis
C0220994	Hyperammonaemia
C0221002	Hyperparathyroidism primary
C0221021	Microangiopathic haemolytic anaemia
C0221030	Hyperviscosity syndrome
C0221032	Congenital generalised lipodystrophy
C0221040	Dialysis dementia
C0221045	Cardiac failure high output
C0221046	Carotid sinus syndrome
C0221047	Bradycardia-tachycardia syndrome
C0221069	Anterior spinal artery syndrome
C0221100	Hangover
C0221147	Platelet production decreased
C0221150	Odynophagia
C0221152	Obstipation
C0221154	Hypertension paroxysmal
C0221155	Systolic hypertension
C0221158	Multifocal atrial tachycardia
C0221161	Shallow breathing
C0221165	Diplegia
C0221166	Paraparesis
C0221170	Muscle stiffness
C0221185	Xanthopsia
C0221201	Rash macular
C0221203	Rash vesicular
C0221228	Comedone
C0221232	Welts
C0221237	Angular cheilitis
C0221239	Glomerulonephritis rapidly progressive
C0221242	Fixed drug eruption
C0221244	Dandruff
C0221245	Skin fissures
C0221248	Gouty tophus
C0221252	Eruptive xanthoma
C0221255	Calcification metastatic
C0221260	Nail dystrophy
C0221264	Cheilosis
C0221265	Microcytosis
C0221269	Pseudolymphoma
C0221271	Elastosis perforans
C0221278	Anisocytosis
C0221281	Poikilocytosis
C0221333	Hypouricaemia
C0221345	Nail discolouration
C0221348	Yellow nail syndrome
C0221384	Follicular conjunctivitis
C0221392	Vaginitis atrophic
C0221395	Erythropenia
C0221406	Pituitary-dependent Cushing's syndrome
C0221423	Sickness
C0221436	Melanoderma
C0221470	Aphagia
C0221477	Vasomotor collapse
C0221490	Epigastric distress
C0221512	Stomach ache
C0221706	Road traffic accident
C0221714	Injection site infection
C0221717	Contact lens intolerance
C0221722	Muscle movement involuntary
C0221725	Bronchial obstruction
C0221727	Oesophageal pain
C0221733	Paradoxical pressor response
C0221742	Serum sickness-like reaction
C0221743	Skin reaction
C0221745	Depression suicidal
C0221752	Blood urine
C0221758	Stiff back
C0221773	Hyperamylasaemia
C0221776	Oral pain
C0221777	Nontoxic goiter
C0221780	Rectal discharge
C0221785	Ache wrists
C0227791	Vaginal discharge
C0231170	Disability
C0231218	Malaise
C0231230	Fatigability
C0231246	Weight gain poor
C0231255	Body mass index decreased
C0231274	Heat intolerance
C0231303	Distress
C0231365	Urination impaired
C0231441	Immobile
C0231451	Joint hyperextension
C0231471	Posture abnormal
C0231527	Muscular incoordination
C0231528	Myalgia
C0231529	Tendon pain
C0231530	Muscle twitching
C0231557	Bone development abnormal
C0231592	Joint crepitation
C0231613	Occipital headache
C0231666	Wrist drop
C0231686	Unsteady gait
C0231688	Gait shuffling
C0231694	Festinating gait
C0231710	Buttock pain
C0231749	Knee pain
C0231785	Carpo-pedal spasm
C0231807	Dyspnoea exertional
C0231835	Tachypnoea
C0231837	Respiratory rate decreased
C0231856	Breath sounds abnormal
C0231874	Wheezing inspiratory
C0231875	Wheezing expiratory
C0231919	Nasal dryness
C0232097	Volume plasma increased
C0232124	Skipped beats
C0232132	Thready pulse
C0232191	Reflex bradycardia
C0232197	Cardiac fibrillation
C0232200	Gallop rhythm
C0232201	Sinus rhythm
C0232203	Atrial rhythm
C0232208	Nodal rhythm
C0232267	Pericardial rub
C0232285	Chest pressure sensation of
C0232286	Precordial pain
C0232288	Chest pain exertional
C0232292	Chest tightness
C0232333	Electrocardiogram U wave present
C0232352	Vascular insufficiency
C0232409	Hair growth abnormal
C0232410	Hair growth increased
C0232431	Cold sweat
C0232452	Cutis anserina
C0232459	Digestion impaired
C0232461	Increased appetite
C0232462	Decreased appetite
C0232487	Abdominal discomfort
C0232488	Abdominal colic
C0232492	Abdominal pain upper
C0232493	Epigastric pain
C0232495	Abdominal pain lower
C0232498	Abdominal tenderness
C0232570	Epigastric fullness
C0232599	Bilious vomiting
C0232602	Retching
C0232693	Borborygmi
C0232695	Bowel sounds decreased
C0232726	Rectal tenesmus
C0232766	Asterixis
C0232807	Function kidney decreased
C0232808	Shutdown renal
C0232826	Antidiuresis
C0232831	Hyposthenuria
C0232841	Bladder dysfunction
C0232849	Bladder pain
C0232861	Penile discharge
C0232910	Teratogenicity
C0232933	Menstrual cycle abnormal
C0232940	Amenorrhea secondary
C0232943	Menometrorrhagia
C0232981	Spermatogenesis arrest
C0233401	Psychiatric symptom
C0233407	Disorientation
C0233408	Temporal disorientation
C0233414	Disturbance in attention
C0233415	Distractibility
C0233417	Poor concentration
C0233459	Emotional disorder
C0233467	Inappropriate affect
C0233469	Blunted affect
C0233471	Flat affect
C0233472	Affect lability
C0233477	Dysphoria
C0233479	Elevated mood
C0233481	Worry
C0233485	Apprehension
C0233488	Feeling of despair
C0233494	Tension
C0233514	Abnormal behaviour
C0233519	Suspiciousness
C0233523	Antisocial behaviour
C0233528	Asocial behaviour
C0233558	Temper tantrum
C0233565	Bradykinesia
C0233569	Physical wandering
C0233571	Excitement
C0233612	Waxy flexibility
C0233632	Thinking abnormal
C0233633	Bradypsychic response
C0233651	Perseveration
C0233657	Flight of ideas
C0233697	Obsessive rumination
C0233715	Speech impairment NOS
C0233718	Pressure of speech
C0233746	Perceptual disturbance
C0233754	Derealisation
C0233762	Hallucination, auditory
C0233763	Hallucination, visual
C0233767	Hallucination, tactile
C0233773	Hypnagogic hallucination
C0233794	Memory impairment
C0233795	Anterograde amnesia
C0233796	Amnesia transient
C0233818	Judgement impaired
C0233844	Clumsiness
C0233931	Nocturnal emission
C0233973	Painful erection
C0233976	Clitoral engorgement
C0234022	Anorgasmia
C0234047	Ejaculation delayed
C0234131	Motor dysfunction
C0234133	Extrapyramidal symptoms
C0234144	Dysgraphia
C0234146	Areflexia
C0234162	Dysmetria
C0234192	Feeling cold
C0234193	Sensation of heat
C0234199	Pallanesthesia
C0234215	Discomfort
C0234222	Sensation of pressure
C0234230	Pain burning
C0234233	Tenderness
C0234238	Ache
C0234369	Trembling
C0234373	Tremor fine
C0234376	Action tremor
C0234428	Consciousness abnormal
C0234458	Abnormal dreams
C0234507	Anosognosia
C0234518	Slurred speech
C0234533	Convulsions generalised
C0234535	Clonic convulsion
C0234543	Postictal state
C0234547	Drug withdrawal convulsions
C0234632	Visual acuity reduced
C0234655	Burning sensation in eye
C0234656	Periorbital pain
C0234665	Eyelid retraction
C0234708	Intraocular pressure increased
C0234894	Dermatitis acneiform
C0234906	Erythema annulare
C0234909	Nail changes
C0234913	Rash erythematous
C0234916	Rash follicular
C0234918	Rash morbilliform
C0234922	Rash scaly
C0234925	Oily skin
C0234930	Skin odour abnormal
C0234934	Urticaria vesiculosa
C0234935	Acute urticaria
C0234936	Application site oedema
C0234939	Inflammatory swelling
C0234943	Application site anaesthesia
C0234952	Oropharyngeal spasm
C0234953	Tongue spasm
C0234962	Pulmonary vasculitis
C0234967	Choreoathetoid movements
C0234972	Convulsive disorder
C0234975	Convulsions aggravated
C0234979	Dysdiadochokinesis
C0234983	Delirium toxic
C0234987	Dizziness postural
C0234988	Dizziness exertional
C0235002	Head discomfort
C0235004	Head pressure
C0235006	Hypersensation skin
C0235013	Hypervigilance
C0235014	Fontanelle bulging
C0235018	Localised numbness
C0235025	Peripheral motor neuropathy
C0235030	Neurologic reaction
C0235031	Neurological symptom
C0235032	Neurotoxicity
C0235046	Paraesthesia skin
C0235048	Smarting
C0235050	Tingling skin
C0235055	Skeletal muscle paralysis
C0235063	Respiratory depression
C0235068	Scintillating scotoma
C0235069	Tetanus-like
C0235074	Tongue paralysis
C0235081	Tremor limb
C0235082	Tremor muscle
C0235086	Muscle contractions involuntary
C0235093	Paralysis of bladder
C0235095	Visual field constriction
C0235097	Withdrawal seizures
C0235108	Feeling tense
C0235113	Emotional poverty
C0235117	Withdrawal emotional
C0235119	Hunger abnormal
C0235129	Feeling strange
C0235131	Floating feeling
C0235140	Drug maladministration
C0235146	Euphoric mood
C0235162	Difficulty sleeping
C0235168	Nervous tremulousness
C0235169	Excitability
C0235194	Tranquillisation excessive
C0235195	Sedation
C0235196	Suicidal tendency
C0235198	Cerebration impaired
C0235213	Ejaculation decreased
C0235214	Ejaculation inhibited
C0235218	Skin warm
C0235222	Diastolic hypertension
C0235228	Lacrimal gland disorder
C0235229	Ciliary muscle spasm
C0235231	Pupils pinpoint
C0235234	Dry throat
C0235238	Cycloplegia
C0235248	Vasoconstriction peripheral
C0235259	Cataract subcapsular
C0235260	Chloropsia
C0235263	Conjunctival congestion
C0235266	Eye irritation
C0235267	Eye redness
C0235270	Keratopathy
C0235272	Retinal damage
C0235280	Ototoxicity
C0235282	Ear roaring
C0235283	Ear buzzing
C0235287	Dysosmia
C0235290	Taste bitter
C0235293	Taste peculiar
C0235295	Abdominal distress
C0235296	Epigastric pain not food-related
C0235299	Right upper quadrant pain
C0235309	Upset stomach
C0235315	Faeces discoloured
C0235318	Fullness abdominal
C0235324	Gingival swelling
C0235325	Gastric haemorrhage
C0235328	Colon obstruction
C0235329	Small intestinal obstruction
C0235338	Salivary gland pain
C0235339	Mouth irritation
C0235340	Buccal inflammation
C0235344	Buccal mucosa ulceration
C0235347	Black hairy tongue
C0235351	Tongue ulceration
C0235353	Tooth caries aggravated NOS
C0235357	Tooth hypoplasia
C0235360	Spasm biliary
C0235369	Hepatitis granulomatous
C0235378	Hepatotoxicity
C0235395	Fluid loss
C0235396	Hypertonicity
C0235398	Diabetes mellitus exacerbated
C0235401	Glucose tolerance abnormal
C0235409	Increased insulin requirement
C0235416	Blood uric acid increased
C0235430	Ketonemia
C0235431	Blood creatinine increased
C0235433	Fat tissue increased
C0235437	Gravitational oedema
C0235439	Ankle edema
C0235446	Azotaemia of renal origin
C0235453	Steroid withdrawal syndrome
C0235462	Anginal attack
C0235467	Angina pectoris aggravated
C0235472	Pulse abnormal
C0235475	Electrocardiogram QRS complex prolonged
C0235480	Paroxysmal atrial fibrillation
C0235487	Embolism limb
C0235490	Peripheral ischaemia
C0235492	Raynaud-like disorder
C0235496	Oral mucosal petechiae
C0235504	Thrombophlebitis of the leg
C0235511	Superficial phlebothrombosis
C0235520	Femoral artery thrombosis
C0235522	Vein disorder
C0235524	Vein pain
C0235527	Cardiac failure right
C0235532	Cyanosis peripheral
C0235546	Hypopnoea
C0235551	Laryngotracheal oedema
C0235560	Respiratory tract haemorrhage
C0235564	Sneezing excessive
C0235567	Sputum increased
C0235573	Haemoglobinaemia
C0235575	Hemolytic reaction
C0235592	Lymphadenopathy cervical
C0235620	Haemorrhage urinary tract
C0235630	Renal failure aggravated
C0235632	Loin pain
C0235639	Urine abnormality
C0235641	Perineal pain female
C0235648	Breast enlargement female
C0235649	Breast oedema
C0235653	Breast cancer female
C0235656	Uterine cervical lesion
C0235660	Galactorrhoea
C0235667	Mastitis acute female
C0235678	Vaginal odour
C0235680	Vaginitis ulcerative
C0235698	Abdominal distension gaseous
C0235706	Back distress
C0235710	Chest discomfort
C0235721	Heaviness in limbs
C0235723	Reaction febrile
C0235735	Unexpected therapeutic effect
C0235744	Breath holding
C0235746	Saliva altered
C0235750	Hypertension worsened
C0235753	Haemangioma congenital
C0235756	Semen abnormal
C0235761	Nasal septum perforation
C0235762	Rheumatoid arthritis aggravated
C0235763	Psoriasis flare-up
C0235770	Malignant ovarian cyst
C0235774	Somnolence neonatal
C0235792	Breast pain male
C0235807	Hair texture abnormal
C0235818	Bullous eruption
C0235819	Rash bullous
C0235821	Therapeutic response increased
C0235822	Overdose effect
C0235827	Therapeutic response decreased
C0235832	Hernia congenital
C0235834	Upper motor neurone lesion
C0235839	Fever neonatal
C0235847	Hyperhemoglobinemia
C0235848	Skin cold clammy
C0235851	Hyperbilirubinemia aggravated
C0235853	Pemphigoid reaction
C0235855	Sepsis secondary
C0235857	Lacrimation decreased
C0235863	Delayed delivery
C0235874	Condition aggravated
C0235876	Depression aggravated
C0235880	Mononeuritis
C0235883	Uterine inflammation
C0235884	Gastric perforation
C0235886	Leg edema
C0235889	Arthritis aggravated
C0235890	Migraine aggravated
C0235893	Allergy aggravated
C0235895	Implantation complication
C0235896	Lung infiltration
C0235901	Lacrimation abnormal NOS
C0235905	Myasthenia gravis-like syndrome
C0235906	Bronchospasm aggravated
C0235912	Hepatic haemorrhage
C0235919	Nerve root lesion
C0235922	Breast neoplasm benign female
C0235927	Vestibular ataxia
C0235939	Crying abnormal
C0235942	Skull malformation
C0235946	Cerebral atrophy
C0235955	Dermatitis hemorrhagic
C0235957	Muscle necrosis
C0235960	Parkinsonism aggravated
C0235964	Renal dysgenesis
C0235966	Dreaming excessive
C0235969	Ejaculation disorder
C0235972	Retinal deposits
C0235974	Pancreatic carcinoma
C0235980	Scleral discolouration
C0235984	Salivary duct obstruction
C0235988	Serum iron decreased
C0235996	Hepatic enzyme increased
C0236000	Pain in jaw
C0236003	Mucosal swelling
C0236018	Aura
C0236022	Neoplasm malignant aggravated
C0236023	Periodontal destruction
C0236024	Pharyngeal oedema
C0236036	Oculomucocutaneous syndrome
C0236048	Gastric polyps
C0236051	Tolerance development
C0236053	Mucosal ulceration
C0236061	Haptoglobin increased
C0236065	Oedema mouth
C0236068	Swollen tongue
C0236071	Throat tightness
C0236072	Bronchospasm paradoxical
C0236073	Cerebellar infarction
C0236075	Menopausal symptoms
C0236078	Scrotal pain
C0236080	Vaginal discomfort
C0236082	Vaginal pain
C0236083	Burning feeling vagina
C0236106	Photosensitivity allergic reaction
C0236124	Gastrointestinal obstruction
C0236141	Electrocardiogram abnormal specific
C0236151	Renal function test abnormal
C0236167	IUD complication
C0236171	Infection susceptibility increased
C0236178	Intra-abdominal haemorrhage
C0236663	Alcohol withdrawal syndrome
C0236816	Acute stress disorder
C0236826	Expressive language disorder
C0236993	Other sleep disturbances
C0237020	Dermoid cyst of ovary
C0237314	Heart rate irregular
C0237326	Dyschezia
C0237849	Skin exfoliation
C0237938	Gastrointestinal ulcer
C0238033	Breast cancer male
C0238097	Encephalitis cytomegalovirus
C0238106	Clostridium difficile colitis
C0238113	Radiation oesophagitis
C0238124	Necrotising fasciitis
C0238154	Epidural haemorrhage
C0238198	Gastrointestinal stromal tumour
C0238201	Iodism
C0238242	Lithium toxicity
C0238304	Chronic interstitial nephritis
C0238309	Ischaemic neuropathy
C0238311	Nicotine poisoning
C0238334	Pancreatic abscess
C0238425	Sickle cell anaemia with crisis
C0238457	Renal vein thrombosis
C0238461	Anaplastic thyroid cancer
C0238463	Papillary thyroid cancer
C0238621	Aminoaciduria
C0238656	Painful ankle
C0238707	Impairment of attention
C0238792	Bone lesion
C0238796	Bone marrow granuloma
C0238807	Bone tenderness
C0238844	Respiratory sounds decreased
C0238874	Antineutrophil cytoplasmic antibody positive
C0239026	Chest X-ray normal
C0239062	Circumoral oedema
C0239093	Conjunctival irritation
C0239113	Coombs test positive
C0239134	Productive cough
C0239150	Creatinine low
C0239182	Watery diarrhoea
C0239211	Oedema auricular
C0239233	Early satiety
C0239234	Low set ears
C0239266	Pain in elbow
C0239276	Eosinophiluria
C0239279	Epididymal tenderness
C0239293	Oesophageal haemorrhage
C0239295	Oesophageal candidiasis
C0239296	Oesophageal obstruction
C0239340	Edema of lower extremities
C0239343	Acral erythema
C0239375	Numbness of limbs
C0239376	Pain of lower extremities
C0239377	Pain in arm
C0239385	Paresthesia of limbs
C0239454	Erythema of eyelid
C0239488	Erythema facial
C0239511	Numbness facial
C0239513	Pallor facial
C0239521	Facial rash
C0239549	Fat intolerance
C0239571	Foetor hepaticus
C0239589	Pain in fingers
C0239652	Paraesthesia foot
C0239725	Genital pain
C0239729	Genital rash
C0239735	Gingival erythema
C0239739	Gingival pain
C0239779	Grimacing
C0239783	Groin pain
C0239816	Hand dermatitis
C0239819	Edema hands
C0239833	Hand pain
C0239836	Paraesthesia hand
C0239842	Tremor of hands
C0239885	Headache dull
C0239935	Haematocrit increased
C0239937	Microscopic hematuria
C0239940	Glycosylated haemoglobin increased
C0239946	Hepatic fibrosis
C0239978	Frequent bowel movements
C0239981	Hypoalbuminaemia
C0239987	Immunoglobulin G low
C0239998	Recurrent infection
C0240035	Lung fibrosis interstitial
C0240059	Intraventricular haemorrhage
C0240066	Iron deficiency
C0240130	Swelling of knees
C0240182	Leukonychia
C0240204	Paresthesia lips
C0240211	Lip swelling
C0240273	Lymph node tenderness
C0240291	Mg reduced
C0240292	Mg++ increased
C0240322	Menstruation delayed
C0240327	Taste metallic
C0240417	Muscle mass
C0240449	Nasal sinus drainage
C0240464	Neck oedema of
C0240515	Nipple pain
C0240520	Nipple swelling
C0240521	Nipple tenderness
C0240557	Nasal irritation
C0240564	Nasal pain
C0240671	Activated partial thromboplastin time prolonged
C0240717	Perineal pain
C0240735	Personality change
C0240773	Plantar erythema
C0240802	Pregnancy test positive
C0240811	Prostate infection
C0240840	Pulse pressure decreased
C0240873	Rectal mass
C0240897	Retinal exudates
C0240925	Salivary gland swelling
C0240941	Itchy scalp
C0240962	Scleral icterus
C0240972	Scrotal erythema
C0241005	Creatine phosphokinase serum increased
C0241012	Serum ferritin decreased
C0241013	Serum ferritin increased
C0241028	Sexually active
C0241057	Skin burning sensation
C0241060	Dermal cyst
C0241069	Skin erosion
C0241075	Skin induration
C0241136	Pain of skin
C0241137	Pallor of skin
C0241157	Pustule
C0241164	Skin tenderness
C0241165	Skin thickening
C0241166	Skin tightness
C0241228	Spleen palpable
C0241235	Sputum purulent
C0241237	Dysstasia
C0241254	Mucous stools
C0241266	Subcutaneous abscess
C0241310	Suprapubic pain
C0241357	Testosterone low
C0241379	Increased thirst
C0241426	Burning tongue
C0241442	Protrusion tongue
C0241513	Thyrotropin low
C0241558	Urethral haemorrhage
C0241618	Vaginal burning sensation
C0241619	Vaginal cyst
C0241633	Vaginal dryness
C0241635	Vaginal erythema
C0241669	Venous occlusion
C0241705	Strangury
C0241712	Vulval erythema
C0241729	Weight fluctuation
C0241742	Wound haemorrhage
C0241832	Cerebrovascular insufficiency
C0241863	Diabetic
C0241910	Autoimmune hepatitis
C0241934	Hypomania
C0241950	Intestinal infarction
C0242073	Pulmonary congestion
C0242151	Violent
C0242172	Pelvic inflammatory disease
C0242184	Hypoxia
C0242225	Colour blindness
C0242231	Coronary artery stenosis
C0242301	Furuncle
C0242339	Dyslipidaemia
C0242350	Erectile dysfunction
C0242362	Intervertebral disc protrusion
C0242379	Lung neoplasm malignant
C0242420	Retinal oedema
C0242422	Parkinsonism
C0242429	Throat sore
C0242453	Prostatism
C0242459	Loeffler's syndrome
C0242461	Purpura non-thrombocytopenic
C0242528	Azotaemia
C0242584	Autoimmune thrombocytopenia
C0242648	Vertical infection transmission
C0242656	Disease progression
C0242669	Retained placenta
C0242698	Left ventricular dysfunction
C0242770	Bronchiolitis obliterans with organizing pneumonia
C0242784	Food interaction
C0242785	Drug - food interaction
C0242788	Breast neoplasm NOS male
C0242891	Tooth injury
C0242966	Systemic inflammatory response syndrome
C0242973	Ventricular dysfunction
C0242979	Muscle fatigue
C0243001	Abdominal abscess
C0243010	Encephalitis viral
C0243026	Sepsis
C0243065	Aplasia
C0259749	Autonomic neuropathy
C0259756	Jarisch-Herxheimer reaction
C0259768	Wound dehiscence
C0259799	Punctate keratitis
C0259817	Xerosis
C0259972	Ketogenic diet
C0260662	Auditory disorder NOS
C0262365	Mammogram abnormal
C0262385	Autonomic nervous system imbalance
C0262397	Breast tenderness
C0262414	Cervical vertebral fracture
C0262417	Pancreatitis acute on chronic
C0262428	Collagen-vascular disease
C0262431	Spinal compression fracture
C0262469	Embolic stroke
C0262493	Gallbladder polyp
C0262494	Gangrenous cholecystitis
C0262576	Nerve paralysis
C0262578	Night cramps
C0262593	Peripheral nerve injury
C0262613	Renal mass
C0262627	Seroma
C0262662	Ventricular bigeminy
C0262666	Vulval abscess
C0262977	Skin depigmentation
C0262985	Dermatitis psoriasiform
C0262988	Cutaneous vasculitis
C0263008	Skin fibrosis
C0263105	Abdominal wall abscess
C0263111	Perineal abscess
C0263338	Urticaria chronic
C0263355	Rash scarlatiniform
C0263358	Erythema annulare centrifugum
C0263367	Koebner phenomenon
C0263383	Keratosis pilaris
C0263386	Ichthyosis acquired
C0263437	Acne infantile
C0263443	Acne pustular
C0263445	Acne fulminans
C0263449	Dermatitis perioral
C0263465	Skin xerosis
C0263518	Telogen effluvium
C0263530	Nail longitudinal striations
C0263536	Nail hypertrophy
C0263540	Onychomadesis
C0263591	Drug-induced lupus erythematosus
C0263634	Excessive granulation tissue
C0263888	Back disorder
C0263912	Rotator cuff syndrome
C0263962	Olecranon bursitis
C0263978	Soft tissue disorder
C0264009	Osteodystrophy
C0264267	Nasal ulcer
C0264286	Pharyngitis ulcerative
C0264309	Vocal cord disorder
C0264315	Glottic edema
C0264344	Bronchitis bacterial
C0264383	Organising pneumonia
C0264490	Acute respiratory failure
C0264522	Pneumonia hypostatic
C0264523	Pulmonary ossification
C0264545	Pleural thickening
C0264714	Cardiac failure acute
C0264733	Dilatation ventricular
C0264734	Dilatation atrial
C0264886	Conduction disorder
C0264893	Nodal arrhythmia
C0264906	Atrioventricular block second degree
C0264907	Wenckebach phenomenon
C0264909	Defect conduction intraventricular
C0264939	Polyangiitis
C0264995	Arterial occlusion
C0265031	Haemorrhoidal haemorrhage
C0265050	Vena cava thrombosis
C0265057	Superficial thrombophlebitis of leg
C0265072	Inferior vena cava syndrome
C0265101	Carotid artery occlusion
C0265110	Vasospasm cerebral
C0265122	Pericardial disease
C0265294	Metaphyseal dysplasia
C0265547	Limb reduction defect
C0265783	Pulmonary hypoplasia
C0265935	Congenital arterial malformation
C0265962	Netherton's syndrome
C0266008	Breast malformation
C0266011	Supernumerary nipple
C0266241	Congenital absence of bile ducts
C0266316	Congenital hydronephrosis
C0266453	Exencephaly
C0266648	Blighted ovum
C0266813	Faecal occult blood positive
C0266998	Oral soft tissue disorder NOS
C0267028	Lip pain
C0267033	Lip ulceration
C0267055	Erosive oesophagitis
C0267158	Reflux gastritis
C0267166	Gastroduodenitis
C0267356	Duodenal perforation
C0267373	Intestinal haemorrhage
C0267380	Ileitis regional
C0267406	Infarction mesenteric
C0267410	Mesenteric artery thrombosis
C0267412	Thrombosis mesenteric vessel
C0267465	Intestinal stenosis
C0267509	Chronic idiopathic constipation
C0267516	Colon atonic
C0267537	Caecitis
C0267566	Perirectal abscess
C0267596	Rectal haemorrhage
